    X           Y            F606W      F814W
   5307.5800   4036.9100     26.1509     23.3284
   5660.3700   4037.0400     25.2327     22.3083
   4604.2000   4037.8400     27.2096     23.4355
   2998.0300   4039.0100     25.0678     22.3895
   3818.5200   4038.6500     25.8441     22.9010
   4050.8400   4038.5900     21.0511     17.9454
   5008.5900   4040.2400     20.7647     17.1040
   5475.4800   4040.4900     24.4836     21.3294
   6088.8300   4040.1100     25.1271     22.4383
   6522.7300   4040.0400     25.3010     22.2580
   4300.1800   4040.9300     24.4201     21.1114
   5130.1100   4040.7400     25.6042     22.5770
   5554.7500   4040.8200     23.9450     20.7928
   5701.2500   4040.9400     23.8576     20.7789
   6351.9800   4041.3300     24.9293     21.9269
   3112.1800   4041.8000     26.9315     23.5597
   3307.8600   4041.6700     24.7873     21.7757
   3739.5700   4041.9700     25.6427     22.6090
   4069.3300   4041.6200     25.5487     22.5641
   5262.9200   4041.4700     26.1272     23.3180
   6569.4500   4042.1300     25.6306     22.9903
   4738.0800   4042.6000     25.5281     22.4837
   6593.6600   4043.4000     25.7841     22.9130
   2618.6700   4044.3700     25.4728     22.4202
   3498.2800   4044.0700     25.9483     22.7065
   6017.6900   4044.2900     25.2597     22.3073
   5577.4800   4045.2400     24.7379     21.7336
   5745.0700   4045.1900     24.8436     22.0813
   4796.3400   4046.3400     24.4926     21.4410
   5307.0500   4046.1500     25.5463     22.4153
   6337.1800   4046.2300     26.6870     23.5184
   4009.7600   4046.8900     25.4973     22.4715
   5210.4000   4046.7500     26.8465     23.6896
   6076.8800   4047.0000     24.3041     21.4618
   6184.1200   4047.3200     25.8906     22.9803
   6462.2500   4046.6700     25.6474     22.7495
   5454.3600   4047.8000     25.9775     22.8300
   2798.0700   4048.6800     25.8483     23.0766
   4804.5500   4049.2900     25.5394     22.5282
   5857.3500   4048.9200     26.9595     23.5496
   6267.9000   4048.9400     25.3269     22.6651
   6624.5600   4048.4100     26.4445     23.6674
   2704.3200   4050.3800     26.0823     22.9515
   2916.5100   4049.8000     24.7656     21.9232
   3050.7400   4050.1700     23.8437     21.0275
   5307.0500   4046.1500     25.5463     22.4153
   5592.1300   4049.6900     24.4662     21.5718
   6291.3200   4049.7300     24.9262     22.0411
   6297.7100   4050.4200     25.6336     22.7612
   6355.7600   4051.6000     25.1373     22.0966
   3380.6200   4052.5400     26.4664     23.6665
   3910.9800   4053.2500     32.6866     23.1147
   5376.0200   4052.5300     27.1640     23.6898
   3742.9900   4053.7800     26.2201     23.2331
   5891.4200   4053.8400     26.3817     23.6068
